3
3
Mike Dave Jim 
Amy Jane Sarah 
4 8 9 
8 4 1 
8 7 1 
6 1 2 
2 3 3 
2 1 2 
4
Mike Dave Jim Jack 
Amy Jane Sarah Jenny 
3 9 10 4 
9 9 10 3 
10 3 9 2 
9 10 3 9 
9 3 10 9 
6 1 8 7 
8 8 10 6 
6 8 2 3 
9
Mike Dave Jim Jack John Bob Adam Steve Jason 
Amy Jane Sarah Jenny Melissa Chrissy Marie Rachel Dana 
7 2 7 10 3 10 4 3 2 
4 5 9 10 5 5 1 2 1 
2 3 8 9 9 10 1 9 9 
6 6 7 8 8 5 3 9 3 
5 1 7 7 7 6 5 7 7 
10 9 9 8 8 7 9 6 9 
7 8 8 8 2 10 8 8 4 
1 6 7 7 7 9 5 1 3 
6 3 9 10 4 7 5 6 8 
6 2 10 8 8 2 1 10 10 
5 7 5 7 5 4 3 10 7 
1 7 8 2 4 2 8 8 7 
2 6 9 7 2 8 4 10 3 
10 6 4 9 6 3 8 6 6 
1 4 7 6 7 8 5 5 6 
8 9 6 7 1 5 9 5 5 
9 1 7 8 3 2 9 10 1 
2 4 6 8 1 4 8 5 1 
