3
3
A B C
D E F
6 5 10
9 10 10
9 8 6
8 5 7
9 9 10
8 10 5
10
A B C D E F G H I J
K L M N O P Q R S T
1 1 1 1 8 1 1 1 1 7
1 1 1 1 1 1 1 1 7 6
1 1 1 1 1 1 1 9 5 1
1 1 1 1 1 1 8 9 1 1
1 10 1 1 1 9 1 1 1 1
6 1 1 1 1 1 7 1 1 1
1 1 1 1 7 8 1 1 1 1
6 1 1 8 1 1 1 1 1 1
1 1 9 9 1 1 1 1 1 1 
1 6 8 1 1 1 1 1 1 1
1 1 1 1 1 7 1 8 1 1
1 1 1 1 10 1 1 1 1 7
1 1 1 1 1 1 1 1 10 9
1 1 1 1 1 1 1 9 10 1
9 1 1 1 1 1 8 1 1 1
1 1 1 1 10 1 9 1 1 1
1 1 1 9 1 8 1 1 1 1
1 1 9 10 1 1 1 1 1 1
1 8 7 1 1 1 1 1 1 1
7 6 1 1 1 1 1 1 1 1
10
A B C D E F G H I J
K L M N O P Q R S T
1 1 1 1 8 1 1 1 1 7
1 1 1 1 1 1 1 1 7 6
1 1 1 1 1 1 1 9 5 1
1 1 1 1 1 1 8 9 1 1
1 10 1 1 1 9 1 1 1 1
6 1 1 1 1 1 7 1 1 1
1 1 1 1 7 8 1 1 1 1
6 1 1 8 1 1 1 1 1 1
1 1 9 9 1 1 1 1 1 1 
1 6 8 1 1 1 1 1 1 1
1 1 1 1 1 7 1 8 1 1
1 1 1 1 10 1 1 1 1 7
1 1 1 1 1 1 1 1 10 9
1 1 1 1 1 1 1 9 10 1
9 1 1 1 1 1 8 1 1 1
1 1 1 1 10 1 9 1 1 1
1 1 1 9 1 8 1 1 1 1
1 1 9 10 1 1 1 1 1 1
1 8 7 1 1 1 1 1 1 1
10 6 1 1 1 1 1 1 1 1
